code,title,credits
MARK 5397,MARKETING RESEARCH INTERNSHIP II,3
NURS 5130,PEDIATRIC ASSESSMENT LAB,1
MAE 4324,POWER PLANT ENGINEERING,3
GEOL 3358,ASTROBIOLOGY II,3
CSE 3442,EMBEDDED SYSTEMS I,4
SOCI 5311,SOCIOLOGY OF FAMILIES,3
PHIL 4387,TOPICS IN VALUE THEORY,3
PAPP 5366,US IMMIGRATION POLICIES AND PLANNING FOR IMMIGRANTS,3
ENGL 4389,PROFESSIONAL PROJECTS IN ENGLISH STUDIES,3
ARCH 5352,HOUSING: FROM CAVES TO MANSIONS IN THE CLOUDS,3
MATH 5699,RESEARCH IN MATHEMATICS,6
ARCH 5343,ARCHITECTURAL GRAPHICS II,3
ARCH 5357,BUILDING INFORMATION MODELING & VISUALIZATION,3
PSYC 4327,BEHAVIORAL GENETICS,3
RUSS 3334,RUSSIAN COMPOSITION AND GRAMMAR,3
PLAN 6306,URBAN REVITALIZATION,3
ARAB 2301,LITERATURE IN TRANSLATION,3
EXSA 0178,TENNIS: ADVANCED,1
KINE 6294,RESEARCH IN KINESIOLOGY,2
MUSI 4325,RECORDING TECHNIQUES II,3
CE 5351,ADVANCED STRUCTURAL ANALYSIS I,3
LIST 5382,NATIONAL WRITING PROJECT PART II,3
OPMA 4393,OPERATIONS MANAGEMENT INTERNSHIP,3
AREN 3331,MECHANICAL AND ELECTRICAL SYSTEMS,3
HIST 4351,MEDIEVAL TECHNOLOGY AND SCIENTIFIC THOUGHT,3
THEA 4310,MUSICAL THEATRE HISTORY,3
CSE 2392,SPECIAL TOPICS,3
CRCJ 3340,CRIMINAL JUSTICE STATISTICS,3
CE 5340,CONSTRUCTION PROJECT ACQUISITION,3
ANTH 4393,INTERNSHIP IN ANTHROPOLOGY,3
GEOL 3441,BIOSTRATIGRAPHY AND LIFE THROUGH TIME,4
PLAN 5317,INTERMEDIATE DATA ANALYSIS,3
ANTH 5353,MEDICAL ANTHROPOLOGY,3
ARCH 3323,CONSTRUCTION MATERIALS AND METHODS,3
MSE 6698,RESEARCH IN MATERIALS SCIENCE AND ENGINEERING,6
MILS 2343,LEADERSHIP TRAINING CAMP (LTC),3
NURS 5204,NEONATAL NURSING I,2
BE 4331,BIOPOLYMERS AND BIOCOMPATIBILITY,3
PHIL 3304,HISTORY OF PHILOSOPHY: NINETEENTH AND EARLY TWENTIETH CENTURY PHILOSOPHY,3
NURS 6333,DNP PRACTICUM II PRACTICE,3
EE 4372,POWER SYSTEM DISTRIBUTION,3
CM 4111,CONSTRUCTION MANAGEMENT CAPSTONE I,1
BIOL 5340,BIOINFORMATICS,3
ME 5332,ENGINEERING ANALYSIS,3
KINE 4331,OBESITY & WEIGHT MANAGEMENT,3
DS 3355,UNIVERSAL DESIGN & ACCESSIBILITY IN THE PERFORMING ARTS,3
MUSI 5221,PRIVATE LESSONS IN PIANO,2
EXCH 2491,EXCHANGE COURSE,4
MANA 5320,ORGANIZATIONAL BEHAVIOR,3
CHIN 1442,BEGINNING CHINESE II,4
MUSI 5214,CHORAL MATERIALS AND TECHNIQUES II,2
CM 3335,SOILS AND FOUNDATION IN CONSTRUCTION,3
MAE 4321,AEROSPACE PROPULSION,3
LING 6392,SEMINAR IN PHONETICS AND PHONOLOGY,3
CSE 6367,COMPUTER VISION,3
IE 4310,INDUSTRIAL AND PRODUCT SAFETY,3
ECON 5338,APPLIED TIME SERIES,3
SPAN 5318,MEXICAN LITERATURE AND CULTURE,3
BEEP 4306,FAMILY LITERACY AND SECOND LANGUAGE ACQUISITION,3
ENGL 4330,TOPICS IN CREATIVE WRITING,3
ECON 4393,ECONOMICS INTERNSHIP,3
ENVR 4325,TRACER HYDROLOGY,3
KINE 6170,JOURNAL CLUB IN PHYSIOLOGY,1
NURS 4350,CAPSTONE: TRANSITION TO PROFESSIONAL NURSING,3
EE 3407,ELECTROMAGNETICS,4
MAE 4378,INTRODUCTION TO UNMANNED VEHICLE SYSTEMS,3
PSYC 5291,RESEARCH IN PSYCHOLOGY,2
ARCH 4338,CODES AND REGULATIONS,3
ME 5380,DESIGN OF DIGITAL CONTROL SYSTEMS,3
BE 5346,MEDICAL IMAGING,3
CE 6360,THEORY OF ELASTICITY,3
EE 5319,TOPICS IN DIGITAL SYSTEMS,3
CSE 5335,WEB DATA MANAGEMENT,3
MARK 6327,ADVANCED MARKETING RESEARCH METHODS,3
ME 5398,THESIS,3
CRCJ 4391,CONFERENCE COURSE IN CRIMINAL JUSTICE,3
NURS 6621,DNP PRACTICUM II,6
CRCJ 5398,THESIS,3
CE 5389,PIPELINE SYSTEMS ASSET MANAGEMENT,3
PLAN 5319,AGENCIES OF PLANNING AND ADMINISTRATION,3
EE 5342,SEMICONDUCTOR DEVICE MODELING AND CHARACTERIZATION,3
CRCJ 5351,TERRORISM AND CRIME,3
INSY 5379,BUSINESS ANALYTICS CAPSTONE,3
AAST 4318,POLITICS OF AFRICAN AMERICANS,3
MUSI 5108,JAZZ ENSEMBLE,1
EDUC 5291,INDEPENDENT RESEARCH,2
MUSI 5234,PRIVATE LESSONS IN SAXOPHONE,2
SOCW 5363,SOCIAL POLICY FOR CHILDREN & YOUTH,3
SOCW 5381,FOUNDATION FIELD SPLIT II,3
HIST 4377,AFRICAN DIASPORA II,3
ART 3362,MOTION GRAPHICS AND ANIMATION,3
MODL 5300,HISTORY OF THE FRENCH LANGUAGE,3
ME 5297,RESEARCH IN MECHANICAL ENGINEERING,2
ART 4304,ART AND THE HUMAN CONDITION,3
BIOL 5593,RESEARCH,5
ECON 5311,ECONOMIC ANALYSIS,3
AE 5339,INTERMEDIATE MECHANICS OF MATERIALS,3
AE 5191,ADVANCED STUDIES IN AEROSPACE ENGINEERING,1
HONR-SC 3305,HONORS SCIENTIFIC AND TECHNICAL WRITING,3
