code,title,credits
KINE 5194,RESEARCH IN KINESIOLOGY,1
KINE 3303,ORGANIZATIONAL PRINCIPLES OF EXERCISE AND SPORT ACTIVITIES,3
CE 2221,DYNAMICS,2
ENGL 5388,GTA PREPARATION,3
KINE 3300,FUNCTIONAL ANATOMY,3
NURS 5213,PSYCHOPHARMACOLOGY FOR THE PSYCHIATRIC MENTAL HEALTH NURSE PRACTITIONER,2
ENGL 5355,STUDIES IN ENGLISH DISCOURSE,3
CE 5372,GEOSYNTHETICS,3
ARCH 4314,HISTORIC PRESERVATION AND RESTORATION,3
CM 4313,CONSTRUCTION DESIGN II,3
BCMN 2370,MULTIMEDIA PRODUCTION,3
CE 5342,CONSTRUCTION PROJECT ADMINISTRATION,3
PSYC 3358,CYBERPSYCHOLOGY APPLICATIONS,3
SOCW 5483,ADVANCED FIELD SPLIT II,4
GLOBAL 3301,TOPICS IN INTERNATIONAL CULTURES AND CIVILIZATIONS I,3
MUSI 5390,LINEAR ANALYSIS,3
ENGL 6391,GRADUATE READINGS,3
PHIL 3350,TOPICS IN ANCIENT GREEK PHILOSOPHY,3
SOCW 3300,SOCIAL WORK PROFESSIONALISM AND STUDENT SUCCESS,3
ENGR 4395,SUSTAINABLE ENGINEERING DESIGN PROJECT,3
NURSC 5382,NURSING AND HEALTH CARE POLICY: ISSUES AND ANALYSIS,3
MSE 5345,CERAMIC MATERIALS,3
OPMA 5989,INDEPENDENT STUDIES IN MILITARY ACQUISITION,9
SCIE 5304,SPECIAL TOPICS IN SCIENCE I,3
SPAN 3316,EXPLORING THE SPANISH LANGUAGE,3
MUSI 5137,PRIVATE LESSONS IN FRENCH HORN,1
NURS 5339,ROLES AND FUNCTIONS OF THE NURSE ADMINISTRATOR,3
MUSI 5339,PRIVATE LESSONS IN TUBA,3
CM 3331,MECHANICAL AND ELECTRICAL SYSTEMS,3
LARC 5380,RESEARCH METHODS IN LANDSCAPE ARCHITECTURE,3
MAE 4323,ENERGY CONVERSION,3
JOUR 4326,FEATURE AND OPINION WRITING,3
CRCJ 4386,TOPICS IN CORRECTIONS,3
MUSI 5150,PEDAGOGY IN MUSIC THEORY,1
CHEM 2283,SYNTHESIS AND ANALYSIS LABORATORY I,2
KINE 4395,INDIVIDUAL STUDY IN EXERCISE AND SPORT,3
CHEM 3322,PHYSICAL CHEMISTRY II,3
NURSG 5302,CURRICULUM DEVELOPMENT IN NURSING EDUCATION,3
PHYS 1288,SPECIAL PROBLEMS IN GENERAL PHYSICS,2
ESOL 5300,ACADEMIC WRITING,3
POLS 4390,POLICYMAKING IN WASHINGTON,3
INSY 5380,SOCIAL NETWORK ANALYSIS,3
ANTH 4291,CONFERENCE COURSE,2
ART 3333,ALTERNATIVE PHOTOGRAPHIC PROCESSES,3
ENGR 1391,UNDERGRADUATE SPECIAL TOPICS IN ENGINEERING,3
ARCH 4341,NOTATIONAL DRAWING,3
GEOL 5335,ISOTOPES AND TECTONICS,3
SUT 1331,PROFESSIONALISM IN SUBSTANCE USE TREATMENT,3
PLAN 5307,URBANIZATION IN THE DEVELOPING WORLD,3
ESST 3300,INDEPENDENT STUDY,3
ANTH 5389,TEACHING ANTHROPOLOGY,3
SOCW 5395,INTEGRATIVE SEMINAR,3
STATS 6357,NONPARAMETRIC STATISTICS,3
NURS 6323,EVIDENCE APPRAISAL,3
FINA 6311,SEMINAR IN THE THEORY OF CORPORATE FINANCE,3
BIOL 3307,EVOLUTIONARY MEDICINE,3
CSE 6359,ADVANCED TOPICS IN SYSTEMS & ARCHITECTURE,3
ME 5382,RESEARCH TRENDS IN RENEWABLE ENERGY TECHNOLOGIES,3
MASI 5182,INDEPENDENT STUDIES IN MANAGEMENT SCIENCES,1
IE 4378,INTRODUCTION TO UNMANNED VEHICLES SYSTEMS,3
ART 4343,ADVANCED CLAY,3
EE 6375,POWER ELECTRONICS ENGINEERING,3
IE 6308,DESIGN OF EXPERIMENTS,3
ART 2360,INTRODUCTION TO PHOTOGRAPHIC CONCEPTS,3
EVSE 6699,DISSERTATION,6
SOCI 3342,SOCIOLOGY OF THE HUMAN BODY,3
SOCI 3380,SCIENCE AND TECHNOLOGY IN SOCIETY,3
DS 4100,WHEELCHAIR BASKETBALL,1
KINE 6100,SEMINAR IN KINESIOLOGY,1
ENGL 5998,THESIS,9
FINA 5329,PORTFOLIO AND SECURITY ANALYSIS,3
EDAD 5321,EDUCATIONAL RES,3
SOCW 5396,THESIS RESEARCH,3
CHEM 1189,GENERAL CHEMISTRY II LABORATORY,1
FINA 4391,STUDIES IN FINANCE,3
MATH 4303,INTRODUCTION TO TOPOLOGY,3
IE 6303,COMBINATORIAL OPTIMIZATION,3
ENGL 5331,TOPICS IN LANGUAGE OR DISCOURSE STUDIES,3
STATS 3302,MULTIVARIATE STATISTICAL METHODS,3
CLAS 1300,INTRODUCTION TO CLASSICAL MYTHOLOGY,3
ART 5643,RESEARCH IN PRINTMAKING,6
AAST 3386,AFRICAN HISTORY II,3
AE 6399,DISSERTATION,3
REAE 5299,GRAD REAL ESTATE INTERNSHIP,2
ME 5325,COMBUSTION,3
BSAD 6314,MULTIVARIATE STATISTICS,3
MATH 5334,DIFFERENTIAL GEOMETRY,3
KINE 3130,ATHLETIC TRAINING CLINICAL PRACTICUM II,1
PHYS 2321,COMPUTATIONAL PHYSICS,3
MUSI 5340,PRIVATE LESSONS IN EUPHONIUM,3
AREN 3291,PROBLEMS IN ARCHITECTURAL ENGINEERING,2
MARK 5344,ADVANCED RESEARCH ANALYSIS II,3
BE 5388,MEDICAL PRODUCT DESIGN AND DEVELOPMENT,3
EDML 4350,NATURE & CURRICULUM NEEDS OF THE YOUNG ADOLESCENT LEARNER,3
ENGL 4352,ADVANCED CREATIVE WRITING: SCREENWRITING,3
MUSI 1105,VOICE CLASS,1
GEOG 2302,HUMAN GEOGRAPHY,3
EDAD 5352,HIGHER EDUCATION LAW,3
KINE 5220,PREVENTATIVE AND ACUTE CARE TECHNIQUES IN ATHLETIC TRAINING,2
GEOG 4191,CONFERENCE COURSE,1
MARK 3322,PROFESSIONAL SELLING,3
MSE 4330,CORROSION SCIENCE AND ENGINEERING,3
MAE 3309,THERMAL ENGINEERING,3
ARCH 5346,CONSTRUCTION DRAWINGS I,3
ESOL 5315,ENGLISH FOR ACADEMIC PURPOSES,3
INSY 4313,BLOCKCHAIN TECHNOLOGY,3
MUSI 1106,LOW BRASS CLASS,1
BIOL 4303,MICROBIOMES: HEALTH AND THE ENVIRONMENT,3
FREN 3303,FRENCH CONVERSATION,3
NURS 3366,PATHOPHYSIOLOGIC PROCESSES: IMPLICATIONS FOR NURSING,3
DS 4395,DISABILITY STUDIES INTERNSHIP,3
EDUC 4331,KNOWING AND LEARNING IN MATH AND SCIENCE,3
CE 5191,ADVANCED STUDIES IN CIVIL ENGINEERING,1
SOCI 3314,THE LATINA EXPERIENCE,3
KINE 5357,PREVENTATIVE MEDICINE AND POPULATION HEALTH,3
ACCT 2301,PRINCIPLES OF ACCOUNTING I,3
EM 2311,STATICS,3
UDES 4552,URBAN DESIGN STUDIO IV: ADVANCED SUSTAINABLE URBAN DESIGN,5
MAE 4310,INTRODUCTION TO AUTOMATIC CONTROL,3
PHYS 5398,THESIS,3
ENGL 5310,INTRODUCTION TO CRITICAL THEORY,3
CE 5330,CHARACTERISTICS OF TRAFFIC,3
PHYS 4081,UNDERGRADUATE RESEARCH IN PHYSICS,0
CSE 1310,INTRODUCTION TO COMPUTERS & PROGRAMMING,3
EDUC 5362,THE NEUROSCIENCE OF TYPICAL & ATYPICAL LANGUAGE DEVELOPMENT,3
EE 5340,SEMICONDUCTOR DEVICE THEORY,3
ENGL 5391,INDEPENDENT STUDY,3
ENGL 1200,ENGLISH STUDIES PROFESSIONALIZATION AND STUDENT SUCCESS,2
ENGR 2100,SUPERVISED ENGINEERING WORK EXPERIENCE,1
INSY 5698,THESIS,6
HCAD 5399,GRADUATE HEALTH CARE ADMINISTRATION INTERNSHIP,3
EVSE 5200,SELECTED TOPICS IN ENVIRONMENTAL & EARTH SCIENCES,2
ART 4348,INFORMATION VISUALIZATION,3
AAST 3373,ARCHAEOLOGY OF EGYPT,3
ART 4345,ADVANCED PRINTMAKING,3
HONR-VP 2103,SPECIAL TOPICS,1
ACCT 5316,AUDITING CONCEPTS AND PRACTICES,3
HIST 4304,REVOLUTIONS AND REVOLUTIONARIES IN HISTORY,3
ME 5381,BOUNDARY LAYERS,3
MUSI 0129,EARLY MUSIC PERFORMANCE PRACTICE,1
HONR-NU 2203,HONORS SPECIAL TOPICS,2
STATS 3316,STATISTICAL INFERENCE,3
CRCJ 5327,CONSTITUTIONAL ISSUES IN THE CRIMINAL JUSTICE SYSTEM,3
ANTH 3308,FORENSIC ANTHROPOLOGY,3
PAPP 6340,RESEARCH DESIGN,3
IE 4325,AUTOMATION AND ROBOTICS I,3
ME 6311,ADVANCED STRUCTURAL DYNAMICS,3
CSE 5377,WIRELESS COMMUNICATION SYSTEMS,3
CRCJ 4303,MOCK TRIAL II,3
MUSI 1242,PRIVATE LESSONS IN PIANO,2
BE 3344,BIOINSTRUMENTATION,3
BIOL 3349,COOPERATIVE PROGRAM IN BIOLOGY,3
CHEM 4385,INSTRUCTIONAL TECHNIQUES IN CHEMISTRY,3
MUSI 5238,PRIVATE LESSONS IN TROMBONE,2
OPMA 4291,STUDIES IN OPERATIONS MANAGEMENT,2
MATH 7399,DOCTORAL DEGREE COMPLETION,3
PHYS 6904,APPLIED PHYSICS INTERNSHIP,9
FINA 5328,STUDENT MANAGED INVESTMENT FUND,3
CHEM 6999,DISSERTATION,9
KINE 4357,PREPARATION FOR THE PUBLIC HEALTH WORKFORCE,3
MANA 4291,STUDIES IN MANAGEMENT,2
MSE 6198,RESEARCH IN MATERIALS SCIENCE AND ENGINEERING,1
ANTH 3328,CIVILIZATIONS OF SOUTH AMERICA,3
NURSC 5310,TEACHING AND LEARNING THEORIES AND STRATEGIES IN NURSING EDUCATION,3
MATH 2330,FUNCTIONS AND MODELING,3
KORE 3393,KOREAN INTERNSHIP,3
CSE 4377,WIRELESS COMMUNICATION SYSTEMS,3
SPAN 3308,SPANISH FOR HEALTH AND HUMAN SERVICES,3
EXSA 0120,BOWLING,1
MATH 4313,MATHEMATICAL STATISTICS,3
BSAD 6699,DISSERTATION,6
CSE 5361,ARTIFICIAL INTELLIGENCE II,3
ARCH 5670,ADVANCED DESIGN STUDIO,6
ANTH 5341,POSTCOLONIAL SOUTH ASIA,3
NURSG 5645,ADULT GERONTOLOGY PRIMARY CARE NP ADVANCED PRACTICUM,6
MARK 4393,MARKETING INTERNSHIP,3
PLAN 7399,DOCTORAL DEGREE COMPLETION,3
FINA 4324,INTERNATIONAL CORPORATE FINANCE,3
ME 5350,COMPUTER AIDED DESIGN AND MANUFACTURING,3
PSYC 4181,RESEARCH IN PSYCHOLOGY,1
MUSI 5124,PRIVATE LESSONS IN JAZZ PIANO,1
SCIE 4301,ISSUES IN AMERICAN HEALTHCARE,3
MATH 1315,COLLEGE ALGEBRA FOR ECONOMICS & BUSINESS ANALYSIS,3
ART 4339,MOTION DESIGN & KINETIC TYPE,3
ANTH 2349,HONORS PRINCIPLES OF ARCHAEOLOGY,3
MUSI 5116,ELECTRIC GUITAR ENSEMBLE,1
STATS 6390,BAYESIAN DATA ANALYSIS,3
KINE 5128,CLINICAL DIAGNOSTIC PROCEDURES,1
HIST 4342,HISTORY OF THE NORTH AMERICAN FUR TRADE,3
KINE 5385,COMMUNICATION AND HEALTH,3
MUSI 5327,PRIVATE LESSONS IN CELLO,3
FREN 4342,TOPICS IN TRANSLATION,3
EE 4317,ANALOG CMOS IC DESIGN,3
AREN 4309,THERMODYNAMICS FOR ARCHITECTURAL ENGINEERS,3
ENGL 6399,DISSERTATION,3
COMS 3315,COMMUNICATION FOR EDUCATORS,3
ME 5313,FLUID DYNAMICS,3
COMM 5332,ADVANCED PROFESSIONAL COMMUNICATION,3
MUSI 5134,PRIVATE LESSONS IN SAXOPHONE,1
EE 5344,INTRODUCTION TO MICROELECTROMECHANICAL SYSTEMS (MEMS) AND DEVICES,3
MUSI 2145,PRIVATE LESSONS IN DOUBLE BASS,1
NURSC 5341,FINANCIAL MANAGEMENT IN NURSING,3
SPED 5314,CURRENT TOPICS IN SPECIAL EDUCATION AND RESEARCH,3
CE 5323,SUSTAINABLE ENGINEERING,3
IE 3312,ECONOMICS FOR ENGINEERS,3
MUSI 3127,COMPUTER COMPOSITION I,1
PHIL 3340,TOPICS IN APPLIED ETHICS,3
PORT 3391,CONFERENCE COURSE,3
MUSI 0128,ORCHESTRA,1
CE 6300,ADVANCED TOPICS IN CIVIL ENGINEERING,3
HUMA 4395,INTERNSHIP IN MEDICAL HUMANITIES,3
KINE 5348,PATHOPHYSIOLOGY AND PHARMACOLOGY I,3
PHYS 5305,CHAOS AND NONLINEAR DYNAMICS,3
CE 6358,THEORY OF ELASTICITY & ADVANCED MECHANICS,3
HONR-AR 4303,ADVANCED SPECIAL TOPICS,3
EE 4357,INTRODUCTION TO MACHINE LEARNING,3
PSYC 5313,COGNITIVE PSYCHOLOGY,3
ACCT 5320,GOVERNMENTAL AND NONPROFIT ACCOUNTING,3
NURS 5312,ASSESSMENT AND EVALUATION STRATEGIES IN NURSING EDUCATION,3
HEED 2330,CARE AND PREVENTION OF ATHLETIC INJURIES,3
THEA 4393,SPECIAL TOPICS,3
ARCH 3324,STRUCTURES I,3
NURS 5466,PEDIATRIC ACUTE CARE,4
SOCW 6394,APPLIED RESEARCH PRACTICUM,3
EVSE 5389,RESEARCH IN ENVIRONMENTAL SCIENCES,3
ESOL 4302,ACADEMIC READING,3
COMM 4300,COMMUNICATION RESEARCH,3
REAE 4393,REAL ESTATE INTERNSHIP,3
BIOL 5342,DEVELOPMENTAL BIOLOGY IN HEALTH AND DISEASE,3
MANA 5399,GRADUATE MANAGEMENT INTERNSHIP,3
EDML 4677,MIDDLE LEVEL CLINICAL TEACHING,6
EDUC 2330,STUDENT LEADER EFFECTIVENESS TRAINING,3
MUSI 4451,PRIVATE LESSONS IN VOICE,4
KINE 5340,ENVIRONMENTAL PHYSIOLOGY,3
PAPP 5327,COMPARATIVE ADMINISTRATION AND POLICY,3
CE 5316,MACHINE LEARNING FOR SMART BUILDINGS,3
ENGL 4334,TOPICS IN BRITISH LITERATURE,3
ACCT 4319,FINANCIAL ACCOUNTING III,3
MANA 4322,STRATEGIC MANAGEMENT,3
BE 4364,TISSUE ENGINEERING LECTURE,3
PCOM 4301,NONPROFIT MANAGEMENT,3
EDUC 5394,UNDERSTANDING AND DESIGNING CLASSROOM RESEARCH,3
ARAB 3305,ARABIC READING AND COMPOSITION,3
MSE 4353,FUNDAMENTALS OF SUSTAINABLE ENERGY,3
EE 5373,UNBUNDLING SERVICES OF A DEREGULATED POWER SYSTEM,3
BE 3343,MATLAB AND APPLICATIONS FOR BIOENGINEERS,3
LING 5334,MORPHOLOGY,3
LING 6381,STATISTICS FOR LINGUISTS,3
CE 5369,COMPUTATIONAL GEOTECHNICS,3
ARCH 5695,TOPICS IN ARCHITECTURE,6
BIOL 5325,PLANT ECOLOGY,3
FREN 4310,GRAPHIC NOVELS AND THE MEDICAL WORLD,3
MUSI 3125,JAZZ THEORY & KEYBOARD FUNDAMENTALS I,1
IE 4344,HUMAN FACTORS ENGINEERING,3
ART 4365,TECHNOLOGY IN ART EDUCATION,3
EDUC 5361,INTRODUCTION TO EDUCATIONAL NEUROSCIENCE,3
ANTH 4459,BIOARCHAEOLOGY,4
MUSI 5354,SELECTED TOPICS IN MUSIC LITERATURE,3
INTD 4591,CONFERENCE COURSE,5
GEOL 5458,MACHINE LEARNING FOR EARTH AND ENVIRONMENTAL SCIENTISTS,4
SOCI 4303,WOMEN IN SOCIETY,3
HIST 4333,COMPARATIVE CIVIL RIGHTS HISTORY,3
MATH 3304,LINEAR OPTIMIZATION APPLICATIONS,3
SOCW 3306,SOCIAL WORK PRACTICE III: MACRO PRACTICE,3
LARC 5395,SELECTED TOPICS IN LANDSCAPE ARCHITECTURE,3
ENGL 5398,THESIS,3
MUSI 5393,CONDUCTING,3
BANA 4311,ETHICAL AND SOCIAL ISSUES IN DATA SCIENCE,3
MATH 1309,STATISTICAL LITERACY,3
CE 3000,JUNIOR UNDERGRADUATE RESEARCH,0
CSE 6329,SPECIAL TOPICS IN ADVANCED SOFTWARE ENGINEERING,3
MATH 5352,CONCEPTS AND TECHNIQUES IN PRECALCULUS,3
SPAN 4393,SPANISH INTERNSHIP,3
POLS 3315,VIOLENCE & REPRESSION IN THE AMERICAS,3
IE 5305,LINEAR OPTIMIZATION,3
PLAN 5323,HISTORIC PRESERVATION,3
NURS 5341,FINANCIAL MANAGEMENT IN NURSING,3
CSE 4380,INFORMATION SECURITY,3
KINE 5384,PUBLIC HEALTH CAPSTONE EXPERIENCE,3
KINE 5356,HEAD AND SPINE ASSESSMENT AND REHABILITATION,3
MUSI 0171,ELECTIVE PERFORMANCE,1
MAS 3377,HISTORY OF MEXICO,3
PAPP 5354,NONPROFIT MANAGEMENT AND SOCIAL ENTREPRENEURSHIP,3
MANA 5324,TEAM AND GROUP BEHAVIOR,3
HONR-LA 3407,HONORS SPECIAL TOPICS WITH LAB,4
MUSI 4327,TECHNIQUES AND TECHNOLOGY IN FILM COMPOSITION,3
PLAN 6340,GIS AND SUITABILITY ANALYSIS,3
MSE 5343,NANOBIOTECHNOLOGY,3
ECED 4308,APPLICATIONS IN TECHNOLOGY FOR TEACHERS OF YOUNG CHILDREN,3
EDUC 4325,WOMEN IN SCIENCE,3
CE 4356,ADVANCED STEEL DESIGN,3
HEED 4320,STUDIES IN HEALTHY AGING,3
COMM 5391,CONFERENCE COURSE,3
CHEM 5341,INORGANIC CHEMISTRY,3
ME 5324,POWER PLANT ENGINEERING,3
PSYC 4398,HONORS THESIS,3
HONR 4300,ADVANCED SEMINAR,3
CE 5373,ENVIRONMENTAL GEOTECHNOLOGY,3
MUSI 4457,PRIVATE LESSONS IN WOODWINDS,4
AE 5345,NUMERICAL HEAT TRANSFER AND FLUID FLOW,3
EE 3346,CIRCUIT ANALYSIS II,3
MUSI 1251,PRIVATE LESSONS IN PERCUSSION,2
DATA 4380,DATA PROBLEMS,3
POLS 5327,URBAN POLICYMAKING AND ADMINISTRATION,3
BE 5315,FUNDAMENTALS OF BIOMOLECULAR ENGINEERING,3
MUSI 5118,PERCUSSION ENSEMBLE,1
EMBA 5499,SPECIAL TOPICS IN EXECUTIVE BUSINESS EDUCATION,4
CLAS 3320,INTRODUCTION TO ROMAN CIVILIZATION,3
GLOBAL 3303,PUTINISM AND THE CULTURE OF RUSSIAN POLITICS,3
PAPP 5396,PROJECT REPORT,3
ANTH 5406,HUMAN OSTEOLOGY,4
KINE 6999,DISSERTATION,9
CE 4191,PROBLEMS IN CIVIL ENGINEERING,1
IE 5352,REQUIREMENTS ENGINEERING,3
MUSI 1247,PRIVATE LESSONS IN WOODWINDS,2
NURSG 5388,STATISTICS FOR HEALTH CARE,3
BIOL 3306,BACTERIAL PHYSIOLOGY AND ANTIBIOTICS,3
DS 4291,CONFERENCE COURSE,2
NURSG 5339,ROLES AND FUNCTIONS OF THE NURSE ADMINISTRATOR,3
IE 5302,INTRODUCTION TO INDUSTRIAL ENGINEERING,3
SOCW 5304,GENERALIST MICRO PRACTICE,3
POLS 4317,ETHNIC GROUP POLITICS IN THE UNITED STATES,3
ECON 5305,THE ECONOMICS OF DISCRIMINATION,3
PAPP 5362,URBAN DIVERSITY,3
ARCH 4339,DIGITAL FABRICATION METHODOLOGY,3
MUSI 5132,PRIVATE LESSONS IN OBOE,1
SOCI 1200,PERSONAL AND PROFESSIONAL SUCCESS IN THE SOCIAL SCIENCES,2
LARC 5342,LANDSCAPE TECHNOLOGY II,3
MARK 5199,GRADUATE MARKETING INTERNSHIP,1
ELED 5317,THEORIES OF CHILD DEVELOPMENT AND LEARNING,3
MUSI 4244,PRIVATE LESSONS IN STRINGS,2
HONR-BU 4303,ADVANCED SPECIAL TOPICS,3
HIST 3300,INTRODUCTION TO HISTORICAL RESEARCH,3
BIOL 5354,LIMNOLOGY,3
ART 4353,FOUNDRY,3
NURS 3365,PHARMACOLOGY IN NURSING PRACTICE,3
MAE 4391,SPECIAL PROBLEMS IN MECHANICAL AND AEROSPACE ENGINEERING,3
CE 3341,STRUCTURAL ANALYSIS,3
GEOG 5331,ANALYSIS OF SPATIAL DATA,3
PLAN 5331,GIS WORKSHOP,3
COMM 5305,COMMUNICATION RESEARCH METHODS,3
LARC 5320,COMMUNICATIONS FOR LANDSCAPE ARCHITECTS,3
DNCE 3238,STAGE CHOREOGRAPHY,2
PLAN 6318,TECHNIQUES OF PLANNING ANALYSIS I,3
BCMN 2358,TELEVISION PRODUCTION I,3
KINE 1315,INTRODUCTION TO PHYSICAL EDUCATION AND SPORT,3
KINE 5332,ASSESSMENT AND MANAGEMENT I,3
GLOBAL 2301,INTRODUCTION TO GLOBAL ISSUES,3
COMS 4395,PROFESSIONAL INTERNSHIP,3
CSE 5194,ORIENTATION SEMINAR,1
MATH 4345,NUMERICAL ANALYSIS & COMPUTER APPLICATIONS II,3
NURSG 5324,PSYCHIATRIC MENTAL CLINICAL PRACTICE I,3
CE 4335,GEOTECHNICAL ASPECTS OF CONSTRUCTION,3
ACCT 5392,SELECTED TOPICS IN ACCOUNTING,3
ARCH 5347,DIGITAL TECTONICS & PROTOTYPING,3
SUT 3309,SUT PRACTIC II,3
AREN 2391,PROBLEMS IN ARCHITECTURAL ENGINEERING,3
PLAN 5370,SUSTAINABLE COMMUNITIES,3
EXSA 1249,SCUBA DIVING,2
ART 4349,ADVANCED CINEMA PRODUCTION (ACP): VIDEO ART & NEW GENRES,3
BIOL 5317,BACTERIAL PATHOGENESIS,3
MAE 4331,DESIGN FOR MANUFACTURING,3
EVSE 5698,THESIS,6
MATH 5362,MATHEMATICS OF LINEAR PROGRAMMING,3
REAE 5698,THESIS,6
EDTC 5301,CURRENT APPLICATIONS OF TECHNOLOGY IN EDUCATION,3
NURS 3352,THE LEGACY OF THE FAMILY,3
CSE 3315,THEORETICAL CONCEPTS IN COMPUTER SCIENCE AND ENGINEERING,3
ANTH 5355,HUNTERS AND GATHERERS,3
THEA 4291,CONFERENCE COURSE,2
NURS 3309,MEDICAL TERMINOLOGY FOR HEALTHCARE PROVIDERS,3
BIOL 6301,ESSENTIAL TOPICS IN GENOMICS,3
MUSI 5213,CHORAL MATERIALS AND TECHNIQUES I,2
SOCW 5581,FOUNDATION FIELD SPLIT I,5
OPMA 5364,PROJECT MANAGEMENT,3
CE 4391,PROBLEMS IN CIVIL ENGINEERING,3
BIOL 4390,INSTRUCTIONAL TECHNIQUES IN MICROBIOLOGY,3
IE 4000,UNDERGRADUATE RESEARCH,0
MUSI 3352,PRIVATE LESSONS IN PIANO,3
EE 5322,INTELLIGENT CONTROL SYSTEMS,3
KINE 5391,INTERMEDIATE BIOSTATISTICS FOR PUBLIC HEALTH,3
CE 1105,INTRODUCTION TO CIVIL ENGINEERING,1
RUSS 3333,CONVERSATION AND TOPICS IN RUSSIAN CULTURE,3
IE 4339,MANUFACTURING PROCESS & SYSTEM ANALYSIS,3
MSE 5348,FUNDAMENTALS OF COMPOSITES,3
BIOL 3324,HUMAN ECOLOGY OF FOOD,3
BEEP 5318,FOUNDATIONS IN BILINGUAL EDUCATION,3
GEOL 5373,RESERVOIR CHARACTERIZATION,3
MAE 3182,AERODYNAMICS AND FLUIDS LAB,1
BLAW 3311,LAW I,3
NE 4303,NUCLEAR POWER PLANT ENGINEERING,3
SOCI 4315,VIOLENCE IN SOCIETY,3
MUSI 5232,PRIVATE LESSONS IN OBOE,2
MUSI 3242,PRIVATE LESSONS IN PIANO,2
EE 5369,TOPICS IN COMMUNICATIONS,3
SOCW 5321,ADVANCED COMMUNITY PRACTICE,3
SOCI 3318,SELF AND SOCIAL IDENTITY,3
CHEM 5998,THESIS,9
EE 3316,CONTINUOUS AND DISCRETE SIGNALS AND SYSTEMS,3
SOCW 2350,SPECIAL ISSUES IN SOCIAL WORK,3
MODL 4339,LANGUAGE ACQUISITION,3
AREN 3143,PROPERTIES AND BEHAVIOR OF SOILS,1
HIST 3350,ANCIENT GREECE,3
FREN 5320,TOPICS IN FRENCH LANGUAGE & LINGUISTICS,3
NURS 4300,COOPERATIVE NURSING WORK EXPERIENCE,3
POLS 5394,ARCHER CENTER INDEPENDENT STUDY AND RESEARCH,3
BIOL 5353,FUNDAMENTAL MEDICAL MYCOLOGY,3
CLAS 2307,WOMEN IN THE ANCIENT WORLD,3
ECON 5337,BUSINESS & ECONOMIC FORECASTING,3
HIST 4355,THE SCIENTIFIC REVOLUTION,3
PSYC 5325,ORGANIZATIONAL BEHAVIOR,3
BIOL 3315,GENETICS,3
DATA 4392,ADVANCED TOPICS IN DATA SCIENCE,3
EE 4330,FUNDAMENTALS OF TELECOMMUNICATIONS SYSTEMS,3
BIOL 5102,PROFESSIONAL DEVELOPMENT,1
LING 6199,DISSERTATION,1
EVSE 5199,SEMINAR IN ENVIRONMENTAL & EARTH SCIENCES,1
SOAR 0020,WRTG SKILLS REV,0
MANA 4391,STUDIES IN MANAGEMENT,3
CSE 2312,COMPUTER ORGANIZATION & ASSEMBLY LANGUAGE PROGRAMMING,3
REAE 5320,TEXAS REAL ESTATE STUDY TOUR,3
NURSC 5340,MANAGEMENT SEMINAR AND PRACTICE,3
MUSI 4267,PRIVATE LESSONS IN HARPSICHORD,2
REE 2301,THERMAL ENGINEERING,3
AE 5386,WIND & OCEAN CURRENT ENERGY HARVESTING FUNDAMENTALS,3
MATH 5346,CONCEPTS AND TECHNIQUES IN PROBLEM SOLVING,3
KINE 6171,JOURNAL CLUB IN MOVEMENT & REHABILITATION SCIENCES,1
ECON 4324,MONETARY AND FISCAL POLICY,3
CM 5379,CONSTRUCTION COST ESTIMATING,3
BE 4318,MEDICAL DEVICE PROTOTYPING,3
CM 4301,ADVANCED TOPICS IN CONSTRUCTION MANAGEMENT WITH LAB,3
LATN 2314,LATIN LEVEL IV,3
CHEM 5366,CHEMICAL KINETICS,3
BE 4000,UNDERGRADUATE RESEARCH,0
MUSI 4102,VOCAL LITERATURE,1
GWSS 4190,CONFERENCE COURSE,1
ANTH 4348,POLITICAL ANTHROPOLOGY,3
MUSI 3309,CHORAL CONDUCTING I,3
AAST 3353,SOCIAL CLIMATE OF CITIES,3
PSYC 4309,NEUROPHARMACOLOGY,3
MAS 3378,LATINO POLITICS,3
MSE 4355,MATERIALS FOR ENERGY,3
PLAN 4394,COMMUNITY RESEARCH & APPLICATION,3
CSE 3313,INTRODUCTION TO SIGNAL PROCESSING,3
MSE 5339,FAILURE ANALYSIS AND RELIABILITY ENGINEERING,3
MSE 4337,FATIGUE OF ENGINEERING MATERIALS,3
CSE 6321,ADVANCED AUTOMATION TESTING,3
IE 5326,INDUSTRIAL BIOMECHANICS,3
UNIV-NU 1101,CAREER PREPARATION AND STUDENT SUCCESS,1
KINE 4351,PUBLIC HEALTH ETHICS,3
ECON 4300,ADVANCED COMMUNICATION FOR BUSINESS AND ECONOMIC PROFESSIONALS,3
IE 5351,INTRODUCTION TO SYSTEMS ENGINEERING,3
IE 4351,FUNDAMENTALS OF SYSTEMS ENGINEERING,3
CSE 4352,IOT AND NETWORKING,3
CRCJ 2334,INTRODUCTION TO THE CRIMINAL JUSTICE SYSTEM,3
CRCJ 5319,ISSUES IN POLICING,3
ASA 5691,AFFILIATED STUDIES ABROAD,6
SOCI 3331,SOCIOLOGY OF THE FAMILY,3
EDUC 5290,SELECTED TOPICS IN EDUCATION,2
ENGL 4191,LITERATURE CONFERENCE COURSE,1
