Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2022 - 2023,2022 Fall,GRAD,GRAD,Anam,Sahoo,Sai Chetan Karnam,CSE,5324,003,22,35,2,0,0,0,0,0,0,0,0,59
2022 - 2023,2022 Fall,GRAD,GRAD,Anam,Sahoo,Shubham Rathi,INSY,5339,001,21,33,0,0,1,0,0,0,2,0,0,57
2022 - 2023,2022 Fall,GRAD,GRAD,Anam,Sahoo,Shubham Rathi,INSY,5339,003,7,7,0,0,0,0,0,0,0,0,0,14
2022 - 2023,2022 Fall,GRAD,GRAD,Anamarina,Jarecke,"Angela Miller, Courtney Werner",NURS,5130,435,0,0,0,0,0,0,7,0,0,0,0,7
2022 - 2023,2022 Fall,GRAD,GRAD,Anamarina,Jarecke,Courtney Werner,NURS,5130,442,0,0,0,0,0,0,7,0,0,0,0,7
2022 - 2023,2022 Fall,GRAD,GRAD,Angelisse,Martinez,Patti Parker,NURS,5462,400,0,8,1,0,0,0,0,0,2,0,0,11
2022 - 2023,2022 Fall,GRAD,GRAD,Angelisse,Martinez,Patti Parker,NURS,5462,401,0,9,2,0,0,1,0,0,2,0,0,14
2022 - 2023,2022 Fall,GRAD,GRAD,Ankur,Jain,,AE,5101,001,0,0,0,0,0,0,12,0,0,0,0,12
2022 - 2023,2022 Fall,GRAD,GRAD,Ankur,Jain,,ME,5101,001,0,0,0,0,0,0,11,0,0,0,0,11
2022 - 2023,2022 Fall,GRAD,GRAD,Ankur,Jain,Dhananjay Mishra,ME,5316,001,5,6,3,2,2,0,0,0,1,0,0,19
2022 - 2023,2022 Fall,GRAD,GRAD,Anne,Daly,,LIST,5345,001,10,0,0,0,0,0,0,0,1,0,0,11
2022 - 2023,2022 Fall,GRAD,GRAD,Anneshia,Redic,"Gigi Thomas, Mary Davis",NURS,5120,410,0,0,0,0,0,0,6,0,0,0,0,6
2022 - 2023,2022 Fall,GRAD,GRAD,Arash,Saleh,,ARCH,5323,001,5,2,0,0,0,0,0,0,2,0,0,9
2022 - 2023,2022 Fall,GRAD,GRAD,Arash,Saleh,,ARCH,5327,001,46,1,0,0,0,0,0,0,0,0,0,47
2022 - 2023,2022 Fall,GRAD,GRAD,Arash,Saleh,"Aanchal Choudhary, Chiranjeevi Chepuri",CM,5379,001,25,23,3,0,0,0,0,0,0,0,0,51
2022 - 2023,2022 Fall,GRAD,GRAD,Ardeshir,Anjomani,,PLAN,5310,001,8,3,0,0,0,0,0,0,1,0,0,12
2022 - 2023,2022 Fall,GRAD,GRAD,Ardeshir,Anjomani,,PLAN,6310,001,3,3,0,0,0,0,0,0,0,0,0,6
2022 - 2023,2022 Fall,GRAD,GRAD,Arpita,Bhatt,,CE,5300,003,5,4,0,0,0,0,0,0,0,0,0,9
2022 - 2023,2022 Fall,GRAD,GRAD,Arpita,Bhatt,Asma Akter Rony,CE,5328,001,7,2,0,0,0,0,0,0,0,0,0,9
2022 - 2023,2022 Fall,GRAD,GRAD,Arpita,Bhatt,"Harshit Vijay Kapadia, Sunaini Talanki",CE,5382,001,5,5,0,0,0,0,0,0,0,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Arpita,Bhatt,"Harshit Vijay Kapadia, Sunaini Talanki",CM,5382,001,34,10,6,0,0,0,0,0,0,0,0,50
2022 - 2023,2022 Fall,GRAD,GRAD,Arpita,Bhatt,"Harshit Vijay Kapadia, Sunaini Talanki",CM,5382,101,8,4,4,0,0,0,0,0,0,0,0,16
2022 - 2023,2022 Fall,GRAD,GRAD,Arthur,Gonzalez,,HCAD,5301,040,8,4,0,0,0,0,0,0,0,0,0,12
2022 - 2023,2022 Fall,GRAD,GRAD,Ashlee,Loewen,Julie Brinzo,NURS,5337,460,8,0,0,0,0,0,0,0,0,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Ashley,Moore,"Buffy Powell, Essence Carter-Griffin",NURS,5355,452,5,2,0,0,0,0,0,0,1,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Ashley,Pichon,Julie Brinzo,NURS,5337,465,5,2,0,0,0,0,0,0,0,0,0,7
2022 - 2023,2022 Fall,GRAD,GRAD,Ashley,Pree,Phyllis Wood,NURS,5338,459,7,1,0,0,0,0,0,0,0,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Ashley,Walters,"Gigi Thomas, Mary Davis",NURS,5120,417,0,0,0,0,0,0,7,0,0,0,0,7
2022 - 2023,2022 Fall,GRAD,GRAD,Atefe,Makhmalbaf,,ARCH,5332,001,2,6,2,0,0,0,0,0,0,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Atieno,Amadi,,INSY,5375,002,57,7,0,0,0,0,0,0,0,0,0,64
2022 - 2023,2022 Fall,GRAD,GRAD,Atieno,Amadi,,INSY,5375,003,44,6,2,0,0,0,0,0,0,0,0,52
2022 - 2023,2022 Fall,GRAD,GRAD,Audrey,Collins,Phyllis Wood,NURS,5338,453,7,0,0,0,0,0,0,0,0,0,0,7
2022 - 2023,2022 Fall,GRAD,GRAD,Bahra,Khalili Najafabadi,"Adly Noore, Feng Jiang",CSE,5325,003,28,35,5,0,2,0,0,0,0,0,0,70
2022 - 2023,2022 Fall,GRAD,GRAD,Bahra,Khalili Najafabadi,Feng Jiang,CSE,6324,980,18,12,0,0,0,0,0,0,0,0,0,30
2022 - 2023,2022 Fall,GRAD,GRAD,Bang,Dang,Rizwan Faruqui,ARCH,5593,001,1,5,3,1,1,0,0,0,3,0,0,14
2022 - 2023,2022 Fall,GRAD,GRAD,Baohong,Yuan,Liqin Ren,BE,5326,014,10,2,1,1,0,0,0,0,0,0,0,14
2022 - 2023,2022 Fall,GRAD,GRAD,Barbara,Berthold,,MODL,5305,001,7,0,0,0,0,0,0,0,0,0,0,7
2022 - 2023,2022 Fall,GRAD,GRAD,Barbara,Shipman,,MATH,5307,001,5,5,0,1,0,0,0,0,1,0,0,12
2022 - 2023,2022 Fall,GRAD,GRAD,Barbara,Taylor,Phyllis Wood,NURS,5660,468,0,0,0,0,0,0,9,0,0,0,0,9
2022 - 2023,2022 Fall,GRAD,GRAD,Benjamin,Jones,,PHYS,5308,001,6,4,0,0,0,0,0,0,0,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Beth,Shelton,,SOCI,5315,001,7,1,0,0,0,0,0,0,1,0,0,9
2022 - 2023,2022 Fall,GRAD,GRAD,Bethane,Hall,,ACCT,5340,001,5,6,2,1,1,0,0,0,1,0,0,16
2022 - 2023,2022 Fall,GRAD,GRAD,Bethane,Hall,,ACCT,5342,001,3,0,2,1,0,1,0,0,0,0,0,7
2022 - 2023,2022 Fall,GRAD,GRAD,Bethany,McClean,Julie Brinzo,NURS,5337,461,8,0,0,0,0,0,0,0,0,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Bethany,Wood,,SOCW,5313,010,21,5,1,1,0,0,0,0,0,0,0,28
2022 - 2023,2022 Fall,GRAD,GRAD,Bethany,Wood,,SOCW,5313,012,22,6,1,0,0,0,0,0,0,0,0,29
2022 - 2023,2022 Fall,GRAD,GRAD,Betty,Brown-Trask,Phyllis Wood,NURS,5660,451,0,0,0,0,0,0,8,0,0,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Beverly,Black,,SOCW,5301,003,13,12,4,0,2,0,0,0,2,0,0,33
2022 - 2023,2022 Fall,GRAD,GRAD,Beverly,Black,,SOCW,5301,004,16,7,4,1,2,0,0,0,0,0,0,30
2022 - 2023,2022 Fall,GRAD,GRAD,Bhanu,Jain,Amlan Alok,CSE,6363,006,16,43,1,0,0,0,0,0,0,0,0,60
2022 - 2023,2022 Fall,GRAD,GRAD,Bhanu,Jain,Chunyuan Li,CSE,5311,008,33,30,4,0,2,0,0,0,0,0,0,69
2022 - 2023,2022 Fall,GRAD,GRAD,Bhanu,Jain,Haiqi Zhang,CSE,5311,001,31,29,4,0,0,0,0,0,0,0,0,64
2022 - 2023,2022 Fall,GRAD,GRAD,Bhanu,Jain,Hashir Abdul Khan,CSE,5311,002,23,21,5,0,1,0,0,0,0,0,0,50
2022 - 2023,2022 Fall,GRAD,GRAD,Bhanu,Jain,Sai Madhu Bhavana Alla,CSE,6363,008,12,46,1,0,1,0,0,0,0,0,0,60
2022 - 2023,2022 Fall,GRAD,GRAD,Bhanu,Jain,Sanjivni Rana,CSE,6363,005,16,39,4,0,0,0,0,0,0,0,0,59
2022 - 2023,2022 Fall,GRAD,GRAD,Bin,Jiang,,OPMA,5361,070,19,46,0,0,0,0,0,0,0,0,0,65
2022 - 2023,2022 Fall,GRAD,GRAD,Bin,Srinidhi,"Mahmud Rahman, Xin Zhou",ACCT,5307,001,25,15,2,0,1,0,0,0,3,0,0,46
2022 - 2023,2022 Fall,GRAD,GRAD,Bonita,Dockery,,SOCW,5311,028,21,3,0,0,0,0,0,0,0,0,0,24
2022 - 2023,2022 Fall,GRAD,GRAD,Bonita,Dockery,,SOCW,5311,030,20,4,0,0,0,0,0,0,0,0,0,24
2022 - 2023,2022 Fall,GRAD,GRAD,Bonita,Dockery,,SOCW,5357,030,15,5,1,1,0,0,0,0,0,0,0,22
2022 - 2023,2022 Fall,GRAD,GRAD,Bonita,Dockery,,SOCW,5357,035,10,5,0,0,4,0,0,0,0,0,0,19
2022 - 2023,2022 Fall,GRAD,GRAD,Bradly,Masters,,OPMA,5364,020,4,5,1,0,0,0,0,0,0,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Brandi,Pitcox,Martha Yee,NURS,5466,400,5,4,1,0,0,0,0,0,0,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Brent,Boyea,,POLS,5300,001,6,1,0,0,0,0,0,0,1,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Brian,Dalio,,CSE,5317,001,5,2,1,2,5,0,0,0,0,0,0,15
2022 - 2023,2022 Fall,GRAD,GRAD,Brian,Dalio,,CSE,5365,002,3,1,2,1,2,0,0,0,0,0,0,9
2022 - 2023,2022 Fall,GRAD,GRAD,Brian,Huff,"Lei Di, Pranavkumar Raviya",IE,5330,001,3,8,1,0,0,1,0,0,0,0,0,13
2022 - 2023,2022 Fall,GRAD,GRAD,Brittany,Baker,,SOCW,5304,006,22,0,0,0,0,0,0,0,1,0,0,23
2022 - 2023,2022 Fall,GRAD,GRAD,Buffy,Powell,Essence Carter-Griffin,NURS,5355,456,7,0,0,0,1,0,0,0,0,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Byung Ran,So,,CHEM,5011,001,22,0,0,0,0,0,0,0,0,0,0,22
2022 - 2023,2022 Fall,GRAD,GRAD,Byung Ran,So,,CHEM,5331,001,10,3,0,0,0,0,0,0,0,0,0,13
2022 - 2023,2022 Fall,GRAD,GRAD,Caitlin,Walker,Erin Carlson,KINE,5385,001,22,0,0,0,0,0,0,0,1,0,0,23
2022 - 2023,2022 Fall,GRAD,GRAD,Candace,Lafferty,,EDUC,5309,001,6,2,1,0,0,0,0,0,1,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Candace,Lafferty,,MAED,5351,005,58,7,0,0,0,0,0,0,0,0,0,65
2022 - 2023,2022 Fall,GRAD,GRAD,Candace,Lafferty,,MAED,5352,105,72,4,1,0,1,0,0,0,0,0,0,78
2022 - 2023,2022 Fall,GRAD,GRAD,Candida,Constantine,,NURS,5342,400,26,2,0,0,0,0,0,0,1,0,0,29
2022 - 2023,2022 Fall,GRAD,GRAD,Candida,Constantine,,NURS,5342,401,45,1,0,0,0,0,0,0,2,0,0,48
2022 - 2023,2022 Fall,GRAD,GRAD,Candida,Constantine,,NURS,5343,400,44,4,1,0,0,0,0,0,1,0,0,50
2022 - 2023,2022 Fall,GRAD,GRAD,Carla,Storey,,SOCW,5311,046,13,5,1,1,1,0,0,0,3,0,0,24
2022 - 2023,2022 Fall,GRAD,GRAD,Carlton,Rojas,Sayda Major,NURS,5640,456,0,0,0,0,0,0,8,0,0,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Caroline,Krejci,Md Abdullah,IE,5329,001,10,5,4,6,4,0,0,0,1,0,0,30
2022 - 2023,2022 Fall,GRAD,GRAD,Carrie,Ausbrooks,,EDAD,5360,105,30,1,0,0,0,0,0,0,1,0,0,32
2022 - 2023,2022 Fall,GRAD,GRAD,Carrie,Ausbrooks,,EDAD,5383,105,368,9,4,1,8,0,0,0,6,0,0,396
2022 - 2023,2022 Fall,GRAD,GRAD,Catherine,Robert,,EDAD,6343,001,10,2,0,0,0,0,0,0,0,0,0,12
2022 - 2023,2022 Fall,GRAD,GRAD,Cathryn,Brown,"Cynthia Casey, Cynthia Plonien, Sandra Laird",NURS,6327,404,8,2,0,0,0,0,0,0,1,0,0,11
2022 - 2023,2022 Fall,GRAD,GRAD,Cathryn,Brown,"Cynthia Plonien, Donna Hamby",NURS,6327,400,7,1,0,0,0,0,0,0,2,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Cesar,Torres,Mohammad Abu Nasir Rakib,CSE,5392,002,3,4,0,1,2,0,0,0,0,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Cesar,Torres,Mohammad Abu Nasir Rakib,CSE,6392,002,4,2,0,1,1,0,0,0,0,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Chaitanya,Sambhara,,INSY,5375,020,11,6,0,0,0,0,0,0,0,0,0,17
2022 - 2023,2022 Fall,GRAD,GRAD,Chance,Eary,Pratik Antoni Patekar,CSE,5344,003,26,4,0,0,0,0,0,0,0,0,0,30
2022 - 2023,2022 Fall,GRAD,GRAD,Chaoqun,Liu,,MATH,5338,001,4,3,1,0,0,1,0,0,0,0,0,9
2022 - 2023,2022 Fall,GRAD,GRAD,Charles,MacBride,,ARCH,5671,002,11,6,1,0,0,0,0,0,0,0,0,18
2022 - 2023,2022 Fall,GRAD,GRAD,Charles,Miller,,BLAW,5332,001,5,6,1,0,0,0,0,0,2,0,0,14
2022 - 2023,2022 Fall,GRAD,GRAD,Charles,Newson,,MANA,5334,001,27,1,0,0,0,0,0,0,0,0,0,28
2022 - 2023,2022 Fall,GRAD,GRAD,Charles,Newson,,MANA,5344,001,42,1,0,0,1,0,0,0,0,0,0,44
2022 - 2023,2022 Fall,GRAD,GRAD,Charles,Newson,,MANA,5344,002,33,2,0,0,0,0,0,0,0,0,0,35
2022 - 2023,2022 Fall,GRAD,GRAD,Chava,Rousch-Carlisle,,SOCW,5344,002,22,0,0,0,0,0,0,0,3,0,0,25
2022 - 2023,2022 Fall,GRAD,GRAD,Che-Chun,Lin,,FINA,5340,073,20,0,0,0,0,0,0,0,14,0,0,34
2022 - 2023,2022 Fall,GRAD,GRAD,Chen,Kan,Yujing Yang,IE,5318,004,8,11,2,0,1,0,0,0,0,0,0,22
2022 - 2023,2022 Fall,GRAD,GRAD,Cheng,Luo,,AE,5331,002,4,2,1,0,0,0,0,0,0,0,0,7
2022 - 2023,2022 Fall,GRAD,GRAD,Cheng,Luo,Akiilessh Sivakumar,AE,5331,001,4,3,4,2,0,0,0,0,0,0,0,13
2022 - 2023,2022 Fall,GRAD,GRAD,Cheng-Jen,Chuong,"Juhyun Lee, Shu Kang",BE,5101,013,0,0,0,0,0,0,6,0,0,0,0,6
2022 - 2023,2022 Fall,GRAD,GRAD,Cheng-Jen,Chuong,"Juhyun Lee, Shu Kang",BE,6101,013,0,0,0,0,0,0,7,0,0,0,0,7
2022 - 2023,2022 Fall,GRAD,GRAD,Cheng-Jen,Chuong,Lia Molina Cortez,BE,5337,002,1,3,1,1,0,0,0,0,0,0,0,6
2022 - 2023,2022 Fall,GRAD,GRAD,Cheryl,Mitchell,"Gigi Thomas, Mary Davis",NURS,5120,409,0,0,0,0,0,0,6,0,0,0,0,6
2022 - 2023,2022 Fall,GRAD,GRAD,Cheryl,Mitchell,"Gigi Thomas, Mary Davis",NURS,5120,437,0,0,0,0,0,0,7,0,0,0,0,7
2022 - 2023,2022 Fall,GRAD,GRAD,Cheryl,Mitchell,"Gigi Thomas, Mary Davis",NURS,5120,460,0,0,0,0,0,0,6,0,0,0,0,6
2022 - 2023,2022 Fall,GRAD,GRAD,Cheryl,Prachyl,,ACCT,5307,002,24,7,5,1,0,0,0,0,1,0,0,38
2022 - 2023,2022 Fall,GRAD,GRAD,Cheryl,Prachyl,,ACCT,5307,020,9,4,0,0,0,0,0,0,2,0,0,15
2022 - 2023,2022 Fall,GRAD,GRAD,Cheryl,Prachyl,,ACCT,5311,001,1,0,1,0,1,0,0,0,5,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Cheryl,Prachyl,,ACCT,5321,001,10,6,0,0,0,0,0,0,0,0,0,16
2022 - 2023,2022 Fall,GRAD,GRAD,Choong-Un,Kim,"Chuzhong Zhang, Geng Ni, Ian Shortt, Ryan Hart",MSE,5304,001,6,2,4,0,0,0,0,0,0,0,0,12
2022 - 2023,2022 Fall,GRAD,GRAD,Christian,Vazquez,,SOCW,5308,010,3,5,1,0,1,0,0,0,0,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Christian,Vazquez,,SOCW,5313,007,21,6,2,0,0,0,0,0,1,0,0,30
2022 - 2023,2022 Fall,GRAD,GRAD,Christie,Eckler,,SOCW,5312,001,9,2,0,0,0,0,0,0,1,0,0,12
2022 - 2023,2022 Fall,GRAD,GRAD,Christie,Eckler,,SOCW,5312,002,18,3,1,0,1,0,0,0,2,0,0,25
2022 - 2023,2022 Fall,GRAD,GRAD,Christie,Eckler,,SOCW,5321,001,7,2,3,1,0,0,0,0,1,0,0,14
2022 - 2023,2022 Fall,GRAD,GRAD,Christie,Ramirez,Nancy Wyrick,NURS,5371,401,6,1,0,0,0,0,0,0,1,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Christoph,Csallner,Mohammad Rifat Arefin,CSE,6324,001,11,32,2,0,0,0,0,0,0,0,0,45
